approach,query_no,latency,average_relative_error,bin_completeness,total_bins,query,sample_percentage
US,63,0.011723890900611877,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 411.00 and arr_delay = 28.00 and origin = 'CVG';
",100
US,64,0.01058351993560791,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance <= 1243.00 and arr_delay = 259.00 and origin = 'DAL';
",100
US,65,0.010782666504383087,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 477.00 and arr_delay = 34.00 and origin = 'DAY';
",100
US,66,0.011630773544311523,72.41379310344827,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 437.00 and arr_delay = 47.00 and origin = 'DCA';
",100
US,67,0.009688787162303925,3.7344398340248963,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 845.00 and arr_delay = 23.00 and origin = 'DEN';
",100
US,68,0.010572575032711029,28.342245989304814,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 89.00 and arr_delay = 29.00 and origin = 'DFW';
",100
US,69,0.010238490998744965,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 351.00 and arr_delay = -32.00 and origin = 'DRO';
",100
US,70,0.010882318019866943,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 306.00 and arr_delay = 55.00 and origin = 'DSM';
",100
US,71,0.010671116411685944,185.71428571428572,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 398.00 and arr_delay = 73.00 and origin = 'DTW';
",100
US,72,0.0102715864777565,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 634.00 and arr_delay = 41.00 and origin = 'ECP';
",100
US,73,0.010152436792850494,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 230.00 and arr_delay = 37.00 and origin = 'EKO';
",100
US,74,0.009990565478801727,3.0927835051546393,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 295.00 and arr_delay = 17.00 and origin = 'ELP';
",100
US,75,0.010470129549503326,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 106.00 and arr_delay = 39.00 and origin = 'EUG';
",100
US,76,0.011215992271900177,0.0,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 218.00 and arr_delay = 21.00 and origin = 'EWR';
",100
US,77,0.010853014886379242,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 240.00 and arr_delay = 40.00 and origin = 'EYW';
",100
US,78,0.01021333783864975,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 373.00 and arr_delay = -16.00 and origin = 'FAI';
",100
US,79,0.011139310896396637,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 273.00 and arr_delay = 58.00 and origin = 'FAT';
",100
US,80,0.010909348726272583,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 320.00 and arr_delay = 45.00 and origin = 'FCA';
",100
US,81,0.00972021371126175,100,0,0,"SELECT COUNT(*) FROM flights_sample_1p WHERE distance >= 972.00 and arr_delay = 75.00 and origin = 'FLL';
",100
